Risk ID,Date Identified,Identified By,Risk Category,Risk Title,Risk Description,Probability (1-5),Impact (1-5),Risk Score (P x I),Risk Rating,Response Strategy,Mitigation Action,Contingency Plan,Risk Owner,Review Date,Status,Notes
RSK-001,2026-01-10,Albert Ibe,Resource,Key SME Unavailability,Primary business subject matter expert may be unavailable for requirements workshops due to competing operational priorities.,3,4,12,High,Mitigate,Identify and brief a backup SME for each domain. Schedule workshops 3 weeks in advance. Include SME availability as a project dependency in the charter.,Reschedule workshop with backup SME. Extend requirements phase by 1 week if necessary.,Project Manager,2026-02-10,Open,SME confirmed for Phase 1 workshops. Phase 2 SME TBC.
RSK-002,2026-01-10,Albert Ibe,Scope,Scope Creep,Stakeholders may request additional features or functionality beyond the agreed project scope during development or UAT phases.,4,4,16,Critical,Mitigate,Implement formal change control process. All scope changes require written change request with impact assessment and sponsor approval before work begins.,Assess impact of requested change on timeline and budget. Present options to sponsor. Defer to Phase 2 if not approved.,Project Manager / Sponsor,2026-02-10,Open,Change control process defined in PMP. Stakeholders briefed at kickoff.
RSK-003,2026-01-10,Albert Ibe,Vendor,Vendor Delivery Delay,External vendor may not deliver contracted components on schedule due to resource constraints or technical issues on their side.,3,5,15,Critical,Mitigate,Include delivery milestones with financial penalties in vendor contract. Conduct bi-weekly vendor delivery check-ins. Maintain milestone tracking dashboard.,Activate escalation clause in vendor contract. Assess feasibility of internal resource backfill. Notify sponsor immediately.,Vendor Manager,2026-02-10,Open,Vendor contract under review by legal.
RSK-004,2026-01-10,Albert Ibe,Technical,Integration Complexity,Integration between the new system and existing ERP/legacy systems may prove more complex than anticipated during discovery.,2,5,10,High,Mitigate,Conduct technical spike in discovery phase to validate integration approach. Engage technical architect early. Allocate 15% contingency buffer for technical work.,Engage specialist integration resource. Assess phased integration approach if full integration not feasible in timeline.,Technical Lead,2026-02-10,Open,Technical spike scheduled for Week 3.
RSK-005,2026-01-10,Albert Ibe,People,User Adoption Resistance,End users may resist transitioning from familiar manual processes to the new system resulting in low adoption rates post go-live.,3,4,12,High,Mitigate,Engage change management stream from project initiation. Involve end users in requirements and UAT. Develop training materials 6 weeks before go-live. Identify and activate change champions in each department.,Provide additional 1:1 training sessions. Extend hypercare support period from 2 to 4 weeks post go-live.,Change Manager,2026-02-10,Open,Change champion network identified. Training plan in development.
RSK-006,2026-01-10,Albert Ibe,Budget,Budget Overrun,Unforeseen technical complexity or scope changes may cause the project to exceed its approved budget.,2,5,10,High,Mitigate,Maintain a 15% contingency reserve. Conduct monthly budget vs. actual reviews. Require sponsor approval for any expenditure exceeding $10K above planned.,Present options to sponsor: defer scope to Phase 2 or request budget amendment. Document formally.,Project Manager / Finance,2026-02-10,Open,Contingency reserve of $75K approved.
RSK-007,2026-01-10,Albert Ibe,Compliance,Data Privacy Non-Compliance,Handling of personal data (employee or student records) in the new system may inadvertently violate FIPPA/PIPEDA requirements if not properly governed.,2,5,10,High,Mitigate,Engage Privacy Officer in requirements phase. Conduct Privacy Impact Assessment (PIA) before go-live. Ensure data classification applied to all personal data fields.,Suspend go-live pending privacy remediation. Engage legal and privacy teams immediately.,Privacy Officer / Project Manager,2026-02-10,Open,PIA scheduled for Month 2.
RSK-008,2026-01-15,Albert Ibe,Timeline,Key Resource Departure,A key project team member may leave the organization during the project causing knowledge loss and delivery impact.,1,4,4,Medium,Accept,Maintain up-to-date project documentation and knowledge base. Cross-train team members on critical tasks. Ensure no single point of failure for specialized knowledge.,Backfill resource through HR or engage external contractor. Allow 2-week knowledge transfer period.,Project Manager / HR,2026-03-10,Open,
RSK-009,2026-01-15,Albert Ibe,Technical,Data Migration Issues,Historical data migration from legacy system to new platform may result in data quality issues or data loss.,3,4,12,High,Mitigate,Develop and execute a data migration plan with validation checks. Run parallel processing for 4 weeks post go-live. Conduct data reconciliation report before and after migration.,Roll back to legacy system if critical data integrity issues found. Engage data team for emergency remediation.,Technical Lead / Data Steward,2026-02-10,Open,Data migration plan in development.
RSK-010,2026-01-15,Albert Ibe,Strategic,Executive Sponsor Change,Executive sponsor may change roles or leave the organization during the project resulting in loss of strategic support and decision-making authority.,1,5,5,Medium,Mitigate,Document all sponsor decisions and approvals formally. Brief incoming sponsor comprehensively. Identify a secondary executive who can provide interim support.,Conduct immediate sponsor onboarding session. Re-present project charter and status to new sponsor for re-confirmation.,Project Manager,2026-03-10,Open,
